S_ID,n(control),n(case),core(case),Union,Intersect,Exclusive,Jaccard-score,NESH-score,DelBet,COM
s__Adlercreutzia_equolifaciens,5,2,2,7,0,2,0,1.686,-0.882,1
s__Alistipes_indistinctus,1,2,2,3,0,2,0,2.067,0,3
s__Alistipes_putredinis,3,2,1,5,0,2,0,1.8,0.403,3
s__Alistipes_shahii,4,3,1,6,1,2,0.167,1.567,0.126,3
s__Alistipes_sp_AP11,1,2,1,3,0,2,0,2.067,0.557,3
s__Anaerotruncus_colihominis,4,5,2,6,3,2,0.5,1.233,0.271,2
s__Anaerotruncus_unclassified,6,3,2,7,2,1,0.286,1.057,-0.377,2
s__Bacteroidales_bacterium_ph8,5,2,2,7,0,2,0,1.686,-0.323,3
s__Bacteroides_eggerthii,1,1,1,2,0,1,0,1.7,0,7
s__Bacteroides_fragilis,1,2,1,3,0,2,0,2.067,0.007,9
s__Bacteroides_intestinalis,2,1,1,3,0,1,0,1.533,-0.363,12
s__Bacteroides_salyersiae,2,1,1,3,0,1,0,1.533,-0.355,9
s__Bacteroides_thetaiotaomicron,1,1,1,2,0,1,0,1.7,0,10
s__Barnesiella_intestinihominis,2,1,1,3,0,1,0,1.533,-0.108,3
s__Bifidobacterium_bifidum,3,1,1,4,0,1,0,1.45,-0.048,5
s__Bifidobacterium_longum,1,3,1,4,0,3,0,2.35,0.313,5
s__Bifidobacterium_pseudocatenulatum,5,1,1,6,0,1,0,1.367,-0.421,5
s__Bilophila_unclassified,2,1,1,2,1,0,0.5,0.5,-0.163,2
s__Bilophila_wadsworthia,4,2,1,5,1,1,0.2,1.2,-0.59,2
s__Burkholderiales_bacterium_1_1_47,2,1,1,2,1,0,0.5,0.5,-0.108,11
s__Clostridium_asparagiforme,2,2,2,4,0,2,0,1.9,-0.446,2
s__Clostridium_bolteae,3,2,2,4,1,1,0.25,1.2,-0.632,2
s__Clostridium_clostridioforme,2,1,1,3,0,1,0,1.533,-0.555,4
s__Clostridium_nexile,4,1,1,5,0,1,0,1.4,-0.313,4
s__Clostridium_symbiosum,3,2,1,5,0,2,0,1.8,-0.648,10
s__Collinsella_aerofaciens,3,3,1,6,0,3,0,2.1,-0.852,8
s__Coprobacillus_unclassified,2,4,2,5,1,3,0.2,2,-0.242,2
s__Coprococcus_catus,3,2,2,4,1,1,0.25,1.2,-0.191,1
s__Coprococcus_comes,1,2,1,3,0,2,0,2.067,0.167,1
s__Dorea_formicigenerans,4,2,2,6,0,2,0,1.733,-0.941,1
s__Dorea_longicatena,4,4,2,8,0,4,0,2.3,-0.603,1
s__Eggerthella_unclassified,5,4,2,9,0,4,0,2.244,0.085,2
s__Escherichia_coli,1,2,1,2,1,1,0.5,1.2,0.049,4
s__Escherichia_unclassified,3,1,1,3,1,0,0.333,0.667,-0.108,4
s__Eubacterium_biforme,1,2,2,3,0,2,0,2.067,0,1
s__Eubacterium_hallii,2,3,2,5,0,3,0,2.2,0.07,1
s__Eubacterium_ramulus,1,2,2,2,1,1,0.5,1.2,0.021,1
s__Eubacterium_rectale,1,1,1,1,1,0,1,0,0,1
s__Eubacterium_ventriosum,1,2,1,3,0,2,0,2.067,0.028,7
s__Flavonifractor_plautii,4,1,1,5,0,1,0,1.4,-0.425,10
s__Holdemania_filiformis,3,4,2,5,2,2,0.4,1.4,0.188,2
s__Lachnospiraceae_bacterium_1_4_56FAA,2,1,1,3,0,1,0,1.533,-0.137,8
s__Lachnospiraceae_bacterium_2_1_58FAA,3,2,1,4,1,1,0.25,1.2,-0.764,4
s__Lachnospiraceae_bacterium_5_1_63FAA,2,3,1,4,1,2,0.25,1.65,0.024,1
s__Lactobacillus_mucosae,1,3,1,4,0,3,0,2.35,0.578,5
s__Megamonas_funiformis,3,1,1,3,1,0,0.333,0.667,-0.51,6
s__Megamonas_hypermegale,5,1,1,5,1,0,0.2,0.8,-0.699,6
s__Megamonas_rupellensis,2,2,1,3,1,1,0.333,1.2,0.015,6
s__Megamonas_unclassified,3,3,1,3,3,0,1,0,-0.005,6
s__Megasphaera_unclassified,2,1,1,3,0,1,0,1.533,-0.108,5
s__Odoribacter_splanchnicus,3,1,1,3,1,0,0.333,0.667,-0.001,3
s__Oscillibacter_sp_KLE_1745,2,1,1,2,1,0,0.5,0.5,-0.108,2
s__Oscillibacter_unclassified,6,1,1,6,1,0,0.167,0.833,-0.904,2
s__Oxalobacter_formigenes,3,4,2,7,0,4,0,2.371,0.438,3
s__Parabacteroides_distasonis,3,1,1,4,0,1,0,1.45,-0.19,1
s__Parabacteroides_goldsteinii,1,1,1,2,0,1,0,1.7,0,8
s__Parabacteroides_johnsonii,1,1,1,2,0,1,0,1.7,0,12
s__Parabacteroides_unclassified,3,1,1,4,0,1,0,1.45,-0.269,9
s__Paraprevotella_clara,1,1,1,1,1,0,1,0,0,7
s__Paraprevotella_unclassified,1,2,1,2,1,1,0.5,1.2,0.021,7
